#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_010658.1	190	255	+	-	-	SBBS512_RS01675	WP_001386572.1	21	MULTISPECIES: thr operon leader peptide
chr	NC_010658.1	336	2798	+	-	-	SBBS512_RS01680	WP_001264722.1	820	MULTISPECIES: bifunctional aspartate kinase/homoserine dehydrogenase I
chr	NC_010658.1	2800	3732	+	-	-	SBBS512_RS01685	WP_000241660.1	310	MULTISPECIES: homoserine kinase
chr	NC_010658.1	3733	5019	+	-	-	SBBS512_RS01690	WP_000781112.1	428	MULTISPECIES: threonine synthase
chr	NC_010658.1	5087	5236	+	-	-	SBBS512_RS01695	WP_039058943.1	49	MULTISPECIES: hypothetical protein
chr	NC_010658.1	5233	5529	+	-	-	SBBS512_RS01700	WP_000738723.1	98	MULTISPECIES: hypothetical protein
chr	NC_010658.1	5682	6458	-	-	-	SBBS512_RS01705	WP_000906196.1	258	MULTISPECIES: peroxide stress protein YaaA
chr	NC_010658.1	6528	7958	-	-	-	SBBS512_RS01710	WP_001112613.1	476	MULTISPECIES: sodium:alanine symporter family protein
chr	NC_010658.1	8237	9190	+	-	-	SBBS512_RS01715	WP_000130189.1	317	MULTISPECIES: transaldolase
chr	NC_010658.1	9305	9892	+	-	-	SBBS512_RS01720	WP_001094682.1	195	MULTISPECIES: molybdopterin adenylyltransferase
chr	NC_010658.1	9927	10493	-	-	-	SBBS512_RS01725	WP_000528548.1	188	MULTISPECIES: hypothetical protein
chr	NC_010658.1	10642	11355	-	-	-	SBBS512_RS01730	WP_001102357.1	237	MULTISPECIES: hypothetical protein
chr	NC_010658.1	11545	12450	-	-	-	SBBS512_RS01740	WP_000376502.1	301	MULTISPECIES: integrase
chr	NC_010658.1	12408	12773	-	-	-	SBBS512_RS01745	WP_000567766.1	121	MULTISPECIES: transposase
chr	NC_010658.1	12730	12882	+	-	-	SBBS512_RS27975	WP_071821675.1	50	MULTISPECIES: nitrite extrusion protein 2
chr	NC_010658.1	12916	13419	-	-	-	SBBS512_RS01750	WP_000089821.1	167	MULTISPECIES: transposase
