#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_003198.1	190	255	+	1246512	-	STY0001	NP_454611.1	21	-	thr operon leader peptide
chr	NC_003198.1	337	2799	+	1246513	-	STY0002	NP_454612.1	820	-	aspartokinase I/homoserine dehydrogenase I
chr	NC_003198.1	2801	3730	+	1246514	-	STY0003	NP_454613.1	309	-	homoserine kinase
chr	NC_003198.1	3734	5020	+	1246515	-	STY0004	NP_454614.1	428	-	threonine synthase
chr	NC_003198.1	5114	5887	-	1246516	-	STY0005	NP_454615.1	257	-	hypothetical protein STY0005
chr	NC_003198.1	5966	7396	-	1246517	-	STY0006	NP_454616.1	476	-	amino acid sodium/proton transporter
chr	NC_003198.1	7665	8618	+	1246518	-	STY0007	NP_454617.1	317	-	transaldolase B
chr	NC_003198.1	8729	9319	+	1246519	-	STY0008	NP_454618.1	196	-	molybdopterin biosynthesis protein Mog
chr	NC_003198.1	9376	9942	-	1246520	-	STY0009	NP_454619.1	188	-	hypothetical protein STY0009
chr	NC_003198.1	10092	10805	-	1246521	-	STY0010	NP_454620.1	237	-	hypothetical protein STY0010
chr	NC_003198.1	10841	11245	-	1246522	-	STY0011	NP_454621.1	134	-	hypothetical protein STY0011
chr	NC_003198.1	11594	13510	+	1246523	-	STY0012	NP_454622.1	638	-	DnaK protein
chr	NC_003198.1	13596	14735	+	1246524	-	STY0013	NP_454623.1	379	-	DnaJ protein
chr	NC_003198.1	15020	15967	+	1246525	-	STY0014	NP_454624.1	315	-	regulatory protein
chr	NC_003198.1	16094	16438	+	1246526	-	STY0015	NP_454625.1	114	-	hypothetical protein STY0015
chr	NC_003198.1	16499	17032	-	1246527	-	STY0016	NP_454626.1	177	-	hypothetical protein STY0016
chr	NC_003198.1	17049	17492	-	1246528	-	STY0017	NP_454627.1	147	-	hypothetical protein STY0017
chr	NC_003198.1	17873	19972	+	1246529	-	STY0018	NP_454628.1	699	-	chitinase
chr	NC_003198.1	23341	24045	+	1246532	-	STY0021	NP_454631.1	234	-	DNA-binding transcriptional regulator
chr	NC_003198.1	24473	25015	+	1246533	bcfA	STY0024	NP_454632.1	180	-	fimbrial subunit
chr	NC_003198.1	25116	25802	+	1246534	bcfB	STY0025	NP_454633.1	228	-	fimbrial chaperone
chr	NC_003198.1	28429	29436	+	1246536	bcfD	STY0029	NP_454634.1	335	-	fimbrial subunit
chr	NC_003198.1	29437	29982	+	1246537	bcfE	STY0030	NP_454635.1	181	-	fimbrial subunit
chr	NC_003198.1	29998	30516	+	1246538	bcfF	STY0031	NP_454636.1	172	-	fimbrial subunit
chr	NC_003198.1	30509	31213	+	1246539	bcfG	STY0032	NP_454637.1	234	-	fimbrial chaperone
chr	NC_003198.1	31278	32123	+	1246540	-	STY0033	NP_454638.1	281	-	hypothetical protein STY0033
chr	NC_003198.1	32162	32449	+	1246541	-	STY0034	NP_454639.1	95	-	hypothetical protein STY0034
chr	NC_003198.1	32549	32998	-	1246542	-	STY0035	NP_454640.1	149	-	hypothetical protein STY0035
chr	NC_003198.1	33368	34363	+	1246543	-	STY0036	NP_454641.1	331	-	LysR family transcriptional regulator
chr	NC_003198.1	35339	37057	+	1246545	-	STY0039	NP_454643.1	572	-	sulfatase
chr	NC_003198.1	37103	38674	-	1246546	-	STY0040	NP_454644.1	523	-	5\'-nucleotidase
chr	NC_003198.1	38773	39534	-	1246547	-	STY0041	NP_454645.1	253	-	hypothetical protein STY0041
chr	NC_003198.1	40128	41621	+	1246548	-	STY0042	NP_454646.1	497	-	sulfatase
chr	NC_003198.1	41720	42910	+	1246549	-	STY0043	NP_454647.1	396	-	sulfatase regulatory protein
chr	NC_003198.1	44308	46023	+	1246551	-	STY0046	NP_454649.1	571	-	sulfatase
chr	NC_003198.1	46186	47352	+	1246552	-	STY0047	NP_454650.1	388	-	Na(+)/H(+) antiporter 1
chr	NC_003198.1	47414	48313	+	1246553	-	STY0048	NP_454651.1	299	-	transcriptional activator protein NhaR
chr	NC_003198.1	48368	50407	-	1246554	-	STY0049	NP_454652.1	679	-	glycosyl hydrolase
chr	NC_003198.1	50447	51820	-	1246555	-	STY0050	NP_454653.1	457	-	melibiose:sodium symporter
chr	NC_003198.1	52277	52540	-	1246556	-	STY0052	NP_454654.1	87	-	30S ribosomal protein S20
chr	NC_003198.1	52646	52861	+	1246557	-	STY0053	NP_454655.1	71	-	hypothetical protein STY0053
chr	NC_003198.1	52869	53807	+	1246558	ribF	STY0054	NP_454656.1	312	-	riboflavin biosynthesis protein RibF
chr	NC_003198.1	53852	56686	+	1246559	-	STY0055	NP_454657.1	944	-	isoleucyl-tRNA synthetase
chr	NC_003198.1	56686	57186	+	1246560	-	STY0056	NP_454658.1	166	-	lipoprotein signal peptidase
chr	NC_003198.1	57341	57790	+	1246561	-	STY0057	NP_454659.1	149	-	FkbB-type peptidyl-prolyl cis-trans isomerase
chr	NC_003198.1	57793	58743	+	1246562	-	STY0058	NP_454660.1	316	-	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr	NC_003198.1	58943	60145	+	1246563	-	STY0059	NP_454661.1	400	-	hypothetical protein STY0059
chr	NC_003198.1	60161	61081	+	1246564	-	STY0060	NP_454662.1	306	-	nucleoside hydrolase
chr	NC_003198.1	61103	61789	-	1246565	citB	STY0061	NP_454663.1	228	-	transcriptional regulator Citb
chr	NC_003198.1	61791	63410	-	1246566	citA	STY0062	NP_454664.1	539	-	sensor kinase Cita
chr	NC_003198.1	63545	64846	-	1246567	oadB	STY0063	NP_454665.1	433	-	oxaloacetate decarboxylase subunit beta
chr	NC_003198.1	64859	66634	-	1246568	oadA	STY0064	NP_454666.1	591	-	oxaloacetate decarboxylase subunit alpha
chr	NC_003198.1	66650	66889	-	1246569	oadG	STY0065	NP_454667.1	79	-	oxaloacetate decarboxylase subunit gamma
chr	NC_003198.1	67048	68388	-	1246570	citC	STY0066	NP_454668.1	446	-	citrate-sodium symporter
chr	NC_003198.1	68633	69676	+	1246571	-	STY0067	NP_454669.1	347	-	[citrate (pro-3S)-lyase] ligase [Salmonella enterica subsp. enterica serovar Typhi str. CT18]
chr	NC_003198.1	69706	69999	+	1246572	citD2	STY0068	NP_454670.1	97	-	citrate lyase acyl carrier protein
chr	NC_003198.1	69996	70865	+	1246573	citE2	STY0069	NP_454671.1	289	-	citrate lyase subunit beta
chr	NC_003198.1	70876	72396	+	1246574	citF2	STY0070	NP_454672.1	506	-	citrate lyase subunit alpha
chr	NC_003198.1	72396	72947	+	1246575	citX2	STY0071	NP_454673.1	183	-	phosphoribosyl-dephospho-CoA transferase
chr	NC_003198.1	72925	73833	+	1246576	citG2	STY0072	NP_454674.1	302	-	triphosphoribosyl-dephospho-CoA transferase CitG
