#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_014121.1	82	1410	+	9127753	dnaA	ECL_00001	YP_003610518.1	442	-	chromosomal replication initiator protein
chr	NC_014121.1	1415	2515	+	9122513	-	ECL_00002	YP_003610519.1	366	-	DNA polymerase III subunit beta
chr	NC_014121.1	2515	3588	+	9122514	-	ECL_00003	YP_003610520.1	357	-	recombination protein F
chr	NC_014121.1	3617	6028	+	9122515	gyrB	ECL_00004	YP_003610521.1	803	-	DNA gyrase subunit B
chr	NC_014121.1	6049	6996	-	9122516	-	ECL_00005	YP_003610522.1	315	-	LysR family transcriptional regulator
chr	NC_014121.1	7107	8132	+	9122517	-	ECL_00006	YP_003610523.1	341	-	alcohol dehydrogenase protein
chr	NC_014121.1	8247	9059	+	9122518	-	ECL_00007	YP_003610524.1	270	-	sugar phosphatase
chr	NC_014121.1	9286	9975	+	9122519	-	ECL_00008	YP_003610525.1	229	-	GntR family transcriptional regulator
chr	NC_014121.1	9972	10850	+	9122520	-	ECL_00009	YP_003610526.1	292	-	2-keto-3-deoxygalactonate kinase
chr	NC_014121.1	10834	11451	+	9122521	-	ECL_00010	YP_003610527.1	205	-	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
chr	NC_014121.1	11448	12596	+	9122522	-	ECL_00011	YP_003610528.1	382	-	galactonate dehydratase
chr	NC_014121.1	12758	14050	+	9122523	-	ECL_00012	YP_003610529.1	430	-	D-galactonate transporter
chr	NC_014121.1	14101	15330	+	9122524	-	ECL_00013	YP_003610530.1	409	-	putative ATP/GTP-binding protein
chr	NC_014121.1	15327	15662	-	9122525	-	ECL_00014	YP_003610531.1	111	-	hypothetical protein ECL_00014
chr	NC_014121.1	15974	16384	+	9122526	ibpA	ECL_00015	YP_003610532.1	136	-	heat shock protein
chr	NC_014121.1	16521	16949	+	9122527	ibpB	ECL_00016	YP_003610533.1	142	-	heat shock chaperone
chr	NC_014121.1	17114	18775	+	9122528	-	ECL_00017	YP_003610534.1	553	-	hypothetical protein ECL_00017
chr	NC_014121.1	18743	19489	-	9122529	-	ECL_00018	YP_003610535.1	248	-	GntR family transcriptional regulator
chr	NC_014121.1	19712	21334	+	9122530	-	ECL_00019	YP_003610536.1	540	-	PTS family protein IIC
chr	NC_014121.1	21331	22653	+	9122531	-	ECL_00020	YP_003610537.1	440	-	maltose-6\'-phosphate glucosidase
chr	NC_014121.1	22746	23093	+	9122532	-	ECL_00021	YP_003610538.1	115	-	hypothetical protein ECL_00021
chr	NC_014121.1	23083	23430	+	9122533	-	ECL_00022	YP_003610539.1	115	-	hypothetical protein ECL_00022
chr	NC_014121.1	23463	24749	-	9122534	-	ECL_00023	YP_003610540.1	428	-	D-serine deaminase
chr	NC_014121.1	24767	25084	-	9122535	-	ECL_00024	YP_003610541.1	105	-	hypothetical protein ECL_00024
chr	NC_014121.1	25289	26215	+	9122536	-	ECL_00025	YP_003610542.1	308	-	putative DNA-binding transcriptional regulator
