#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_007606.1	190	255	+	3799883	thrL	SDY_0001	YP_401729.1	21	-	thr operon leader peptide
chr	NC_007606.1	336	2798	+	3796040	thrA	SDY_0002	YP_401730.1	820	-	bifunctional aspartokinase I/homoserine dehydrogenase I
chr	NC_007606.1	2800	3732	+	3796041	thrB	SDY_0003	YP_401731.1	310	-	homoserine kinase
chr	NC_007606.1	3733	5019	+	3796042	thrC	SDY_0004	YP_401732.1	428	-	threonine synthase
chr	NC_007606.1	5233	5529	+	3796043	-	SDY_0005	YP_401733.1	98	-	hypothetical protein SDY_0005
chr	NC_007606.1	5682	6458	-	3796044	yaaA	SDY_0006	YP_401734.1	258	-	hypothetical protein SDY_0006
chr	NC_007606.1	8230	9183	+	3796046	talB	SDY_0008	YP_401736.1	317	-	transaldolase B
chr	NC_007606.1	9298	9885	+	3796047	mogA	SDY_0009	YP_401737.1	195	-	molybdenum cofactor biosynthesis protein
chr	NC_007606.1	9920	10486	-	3796048	yaaH	SDY_0010	YP_401738.1	188	-	hypothetical protein SDY_0010
chr	NC_007606.1	10635	11348	-	3796049	-	SDY_0011	YP_401739.1	237	-	hypothetical protein SDY_0011
chr	NC_007606.1	11374	11733	-	3796050	yaaI	SDY_0012	YP_401740.1	119	-	hypothetical protein SDY_0012
chr	NC_007606.1	12155	14071	+	3796051	dnaK	SDY_0013	YP_401741.1	638	-	molecular chaperone DnaK
chr	NC_007606.1	14160	15290	+	3796052	dnaJ	SDY_0014	YP_401742.1	376	-	molecular chaperone DnaJ
chr	NC_007606.1	15394	15603	-	3796053	gef	SDY_0015	YP_401743.1	69	-	Gef protein
chr	NC_007606.1	16286	16558	-	18262935	-	SDY_0017a	YP_009000618.1	90	-	insertion element iso-IS1N protein InsA
chr	NC_007606.1	16905	18071	+	3796056	nhaA	SDY_0018	YP_401746.1	388	-	pH-dependent sodium/proton antiporter
chr	NC_007606.1	18131	19036	+	3796057	nhaR	SDY_0019	YP_401747.1	301	-	transcriptional activator NhaR
chr	NC_007606.1	19074	19601	-	3796058	-	SDY_0020	YP_401748.1	175	-	hypothetical protein SDY_0020
chr	NC_007606.1	19712	19984	+	18262936	-	SDY_0022a	YP_009000619.1	90	-	insertion element iso-IS1N protein InsA
chr	NC_007606.1	20011	20406	+	3797315	-	SDY_0022	YP_401750.1	131	-	insertion element iso-IS1n protein InsB
chr	NC_007606.1	20512	20889	-	3797316	insB	SDY_0023	YP_401751.1	125	-	insertion sequence element IS1 transposase
chr	NC_007606.1	20934	21209	-	3797317	insA	SDY_0024	YP_401752.1	91	-	insertion element IS1 protein InsA
chr	NC_007606.1	21788	24385	+	3797318	acnB	SDY_0025	YP_401753.1	865	-	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
chr	NC_007606.1	24560	24922	+	3797319	yacL	SDY_0026	YP_401754.2	120	-	hypothetical protein SDY_0026
chr	NC_007606.1	24960	25754	-	3797320	speD	SDY_0027	YP_401755.1	264	-	S-adenosylmethionine decarboxylase
chr	NC_007606.1	25770	26636	-	3797321	speE	SDY_0028	YP_401756.1	288	-	spermidine synthase
chr	NC_007606.1	27255	28805	+	3797323	yacK	SDY_0030	YP_401758.1	516	-	multicopper oxidase
chr	NC_007606.1	29799	30074	+	3797324	insA	SDY_0031	YP_401759.1	91	-	insertion element IS1 protein InsA
chr	NC_007606.1	30119	30496	+	3797325	insB	SDY_0032	YP_401760.1	125	-	insertion element iso-IS1d protein InsB
chr	NC_007606.1	32224	32760	+	3797327	hpt	SDY_0034	YP_401761.2	178	-	hypoxanthine phosphoribosyltransferase
chr	NC_007606.1	32801	33463	-	3797328	yadF	SDY_0035	YP_401762.1	220	-	carbonic anhydrase
chr	NC_007606.1	33572	34498	+	3797329	yadG	SDY_0036	YP_401763.1	308	-	ATPase
chr	NC_007606.1	34495	35265	+	3797330	yadH	SDY_0037	YP_401764.1	256	-	hypothetical protein SDY_0037
chr	NC_007606.1	35370	35810	+	3797331	yadI	SDY_0038	YP_401765.1	146	-	PTS system transporter subunit IIB
chr	NC_007606.1	37108	37488	-	3799806	panD	SDY_0041	YP_401768.1	126	-	aspartate alpha-decarboxylase
chr	NC_007606.1	37762	38562	+	3799807	yadD	SDY_0042	YP_401769.1	266	-	hypothetical protein SDY_0042
chr	NC_007606.1	38591	38866	+	3799808	insA	SDY_0043	YP_401770.1	91	-	insertion element IS1 protein InsA
chr	NC_007606.1	38911	39288	+	3799809	insB	SDY_0044	YP_401771.1	125	-	insertion element iso-IS1d protein InsB
chr	NC_007606.1	39604	39867	-	3799810	rpsT	SDY_0045	YP_401772.1	87	-	30S ribosomal protein S20
chr	NC_007606.1	39970	40188	+	3799811	-	SDY_0046	YP_401773.1	72	-	hypothetical protein SDY_0046
chr	NC_007606.1	40196	41137	+	3799812	ribF	SDY_0047	YP_401774.1	313	-	bifunctional riboflavin kinase/FMN adenylyltransferase
chr	NC_007606.1	41180	43996	+	3799813	ileS	SDY_0048	YP_401775.1	938	-	isoleucyl-tRNA synthetase
chr	NC_007606.1	43996	44490	+	3799814	lspA	SDY_0049	YP_401776.1	164	-	lipoprotein signal peptidase
chr	NC_007606.1	44578	45027	+	3799815	slpA	SDY_0050	YP_401777.1	149	-	FKBP-type peptidylprolyl isomerase
chr	NC_007606.1	45029	45979	+	3799816	ispH	SDY_0051	YP_401778.1	316	-	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr	NC_007606.1	46045	46959	+	3799817	yaaF	SDY_0052	YP_401779.1	304	-	ribonucleoside hydrolase RihC
chr	NC_007606.1	47126	47947	+	3799818	dapB	SDY_0053	YP_401780.1	273	-	dihydrodipicolinate reductase
chr	NC_007606.1	48405	49553	+	3799819	carA	SDY_0054	YP_401781.1	382	-	carbamoyl phosphate synthase small subunit
chr	NC_007606.1	49571	52792	+	3799820	carB	SDY_0055	YP_401782.1	1073	-	carbamoyl phosphate synthase large subunit
chr	NC_007606.1	53534	54145	-	3799822	caiE	SDY_0057	YP_401784.1	203	-	carnitine operon protein CaiE
chr	NC_007606.1	54130	55023	-	3799823	caiD	SDY_0058	YP_401785.1	297	-	carnitinyl-CoA dehydratase
chr	NC_007606.1	55024	56592	-	3799824	caiC	SDY_0059	YP_401786.1	522	-	crotonobetaine/carnitine-CoA ligase
chr	NC_007606.1	56651	57868	-	3798940	caiB	SDY_0060	YP_401787.1	405	-	crotonobetainyl-CoA:carnitine CoA-transferase
chr	NC_007606.1	57997	59139	-	3798941	caiA	SDY_0061	YP_401788.1	380	-	crotonobetainyl-CoA dehydrogenase
chr	NC_007606.1	59170	60684	-	3798942	caiT	SDY_0062	YP_401789.1	504	-	L-carnitine/gamma-butyrobetaine antiporter
chr	NC_007606.1	61156	61926	+	3798943	fixA	SDY_0063	YP_401790.2	256	-	electron transfer flavoprotein FixA
chr	NC_007606.1	61941	62882	+	3798944	fixB	SDY_0064	YP_401791.1	313	-	electron transfer flavoprotein FixB
chr	NC_007606.1	64215	64502	+	3798946	fixX	SDY_0066	YP_401793.1	95	-	ferredoxin
