
GLIMMER    (ver.    3.02;    iterated)    predictions:
    orfID    start    end    frame    score
--------    -----    -----    --    -----
>NC_000913.3    Escherichia    coli    str.    K-12    substr.    MG1655,    complete    genome
orf00001    337    2799    +1    12.01
orf00002    2801    3733    +2    11.36
orf00004    3734    5020    +2    14.41
orf00006    5537    5310    -3    2.45
orf00008    6459    5683    -1    12.91
orf00009    7911    6529    -1    7.93
orf00010    8238    9191    +3    13.60
orf00011    9306    9893    +3    12.58
orf00012    10494    9928    -1    16.43
orf00014    11356    10643    -2    10.17
orf00015    11786    11382    -3    8.67
orf00017    12163    14079    +1    12.97
orf00018    14168    15298    +2    10.65
orf00019    15445    16557    +1    6.83
orf00020    17489    18655    +2    9.91
orf00021    18715    19620    +1    8.29
orf00022    20314    19811    -2    14.02
orf00024    21000    20815    -1    8.85
orf00025    21461    22348    +2    9.82
orf00027    22391    25207    +2    13.17
orf00028    25207    25701    +1    12.44
orf00029    25826    26275    +2    14.78
orf00031    26277    27227    +3    15.68
orf00033    27293    28207    +2    10.15
orf00035    28374    29195    +3    12.83
orf00036    29474    29611    +2    0.81
orf00037    29651    30799    +2    12.14
orf00040    30817    34038    +1    16.17
orf00042    34265    34086    -3    0.19
orf00043    34300    34695    +1    7.55
orf00044    35371    34781    -2    8.29
orf00045    36270    35377    -1    16.18
orf00047    37824    36271    -1    10.61
orf00049    39115    37898    -2    14.09
orf00050    40386    39244    -1    13.06
orf00051    41931    40417    -1    11.19
orf00052    42403    43173    +1    15.43
orf00053    43188    44129    +3    15.68
orf00055    44180    45466    +2    12.72
orf00056    45463    45750    +1    14.88
orf00058    45807    47138    +3    13.49
orf00059    47246    47776    +2    9.56
orf00060    47769    49631    +3    15.06
orf00061    49712    50302    +2    11.64
orf00062    51222    50380    -1    11.50
orf00063    51480    51229    -1    8.64
orf00064    52430    51609    -3    12.07
orf00065    53416    52427    -2    10.81
orf00066    54702    53416    -1    14.27
orf00067    57109    54755    -2    8.37
orf00068    57364    58179    +1    13.37
orf00070    58474    59124    +1    0.88
orf00071    59121    59279    +3    2.52
orf00072    60346    59687    -2    11.50
orf00073    63117    60358    -1    16.00
orf00074    65780    63429    -3    12.41
orf00075    66550    65855    -2    13.38
orf00076    68337    66835    -1    14.25
orf00079    70048    68348    -2    13.29
orf00081    70336    71265    +1    9.94
orf00082    71351    72115    +2    16.23
orf00083    72927    72229    -1    11.14
orf00084    74521    72911    -2    14.42
orf00085    75480    74497    -1    14.52
orf00086    77299    75644    -2    12.26
orf00087    77388    77519    +3    7.36
orf00089    77621    78799    +2    8.77
orf00090    79453    78848    -2    15.20
orf00091    80864    79464    -3    15.68
