#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_021741.1	72	1481	+	29905221	dnaA	M495_RS00005	WP_071844591.1	469	chromosomal replication initiation protein DnaA
chr	NC_021741.1	1486	2586	+	29906090	-	M495_RS00010	WP_020824632.1	366	DNA polymerase III subunit beta
chr	NC_021741.1	2540	2725	+	30329049	-	M495_RS24720	WP_071846545.1	61	hypothetical protein
chr	NC_021741.1	2742	3827	+	29906092	-	M495_RS00015	WP_012004508.1	361	MULTISPECIES: DNA recombination protein RecF
chr	NC_021741.1	3846	6260	+	29906745	-	M495_RS00020	WP_020824633.1	804	DNA gyrase subunit B
chr	NC_021741.1	6384	7199	+	29904184	-	M495_RS00025	WP_020824634.1	271	sugar-phosphatase
chr	NC_021741.1	7243	8184	-	29905784	-	M495_RS00030	WP_020824635.1	313	ornithine cyclodeaminase
chr	NC_021741.1	8171	9139	-	29906138	-	M495_RS00035	WP_020824636.1	322	serine/threonine dehydratase
chr	NC_021741.1	9413	10111	+	29906141	-	M495_RS00040	WP_020824637.1	232	transcriptional regulator
chr	NC_021741.1	10108	11001	+	29905319	-	M495_RS00045	WP_020824638.1	297	2-oxo-3-deoxygalactonate kinase
chr	NC_021741.1	10985	11602	+	29905940	-	M495_RS00050	WP_020824639.1	205	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
chr	NC_021741.1	11599	12747	+	29905572	-	M495_RS00055	WP_020824640.1	382	galactonate dehydratase
chr	NC_021741.1	12864	14183	+	29906275	-	M495_RS00060	WP_041414071.1	439	MFS transporter
chr	NC_021741.1	14256	15548	+	29906290	-	M495_RS00065	WP_041414073.1	430	MFS transporter
chr	NC_021741.1	15595	16875	+	29904032	-	M495_RS00070	WP_020824643.1	426	biopolymer transporter Tol
chr	NC_021741.1	16912	17256	-	29906474	-	M495_RS00075	WP_041414075.1	114	hypothetical protein
chr	NC_021741.1	17253	17444	-	29903356	-	M495_RS00080	WP_020824645.1	63	hypothetical protein
chr	NC_021741.1	17560	17973	+	29906345	-	M495_RS00085	WP_020824646.1	137	heat-shock protein IbpA
chr	NC_021741.1	18102	18530	+	29906350	-	M495_RS00090	WP_020824647.1	142	hypothetical protein
chr	NC_021741.1	18755	20413	+	29901987	-	M495_RS00095	WP_020824648.1	552	transporter
chr	NC_021741.1	20450	21703	-	29904614	-	M495_RS00100	WP_041415136.1	417	valine--pyruvate transaminase
chr	NC_021741.1	21838	23907	-	29906285	-	M495_RS00105	WP_020824650.1	689	alpha-amylase
chr	NC_021741.1	24094	24342	+	29906425	-	M495_RS00110	WP_012004528.1	82	MULTISPECIES: hypothetical protein
chr	NC_021741.1	24332	24619	+	29906427	-	M495_RS00115	WP_020824652.1	95	plasmid stabilization protein
chr	NC_021741.1	24667	25641	-	29902552	-	M495_RS00120	WP_020824653.1	324	D-glycerate dehydrogenase
chr	NC_021741.1	25808	27076	-	29902668	-	M495_RS00125	WP_020824654.1	422	MFS transporter
chr	NC_021741.1	27186	28145	-	29904789	-	M495_RS00130	WP_020824655.1	319	2-dehydro-3-deoxygluconokinase
