        
GLIMMER    (ver.    3.02;    iterated)    predictions:
    orfID    start    end    frame    score
--------    -----    -----    --    -----
>NC_002505.1    Vibrio    cholerae    O1    biovar    El    Tor    str.    N16961    chromosome    I,    complete    sequence
orf00002    806    372    -3    9.51
orf00003    2177    816    -3    11.18
orf00004    3896    2271    -3    10.89
orf00005    4446    4123    -1    4.55
orf00006    4629    4492    -1    5.69
orf00007    5608    4871    -2    13.75
orf00008    6276    5605    -1    10.33
orf00009    7100    6354    -3    13.42
orf00010    7233    7352    +3    1.53
orf00011    7439    8815    +2    11.74
orf00012    8873    9973    +2    14.22
orf00013    10009    11082    +1    8.09
orf00014    11103    13520    +3    12.75
orf00015    13945    14367    +1    6.91
orf00016    14377    14493    +1    18.93
orf00017    14769    15206    +3    13.92
orf00018    16550    15294    -3    12.45
orf00020    18935    16869    -3    13.55
orf00022    19867    18950    -2    10.30
orf00023    20283    20837    +3    11.99
orf00024    20943    21200    +3    13.19
orf00025    21535    21287    -2    6.14
orf00027    21668    21856    +2    5.76
orf00028    23008    22028    -2    12.37
orf00029    24788    23256    -3    13.42
orf00030    26633    24792    -3    12.39
orf00032    27581    26643    -3    11.31
orf00033    27877    27593    -2    7.98
orf00034    29535    27889    -1    12.85
orf00035    30069    31592    +3    10.23
orf00036    31682    32566    +2    10.47
orf00037    33246    32644    -1    11.44
orf00038    34263    33277    -1    8.98
orf00039    35735    34311    -3    9.40
orf00041    36418    36152    -2    12.04
orf00044    36649    36527    -2    4.72
orf00045    36979    37770    +1    11.16
orf00046    37854    38495    +3    10.81
orf00048    39091    38534    -2    7.49
orf00049    40548    39103    -1    8.79
orf00050    41936    40560    -3    13.12
orf00051    43278    41998    -1    12.60
orf00052    44281    43334    -2    9.61
orf00053    44808    44299    -1    14.12
orf00054    44948    46075    +2    10.95
orf00055    46075    47190    +1    8.97
orf00056    47193    47669    +3    13.16
orf00057    47685    48251    +3    6.94
orf00058    49457    48324    -3    11.50
orf00059    49946    49461    -3    10.83
orf00062    50113    50670    +1    10.30
orf00063    50689    51606    +1    7.93
orf00064    51668    52504    +2    11.15
orf00065    52501    52776    +1    7.88
orf00066    53308    52757    -2    6.13
orf00067    53497    53637    +1    5.72
orf00068    58520    58086    -3    10.17
orf00069    59356    59736    +1    5.97
orf00070    59988    61925    +3    8.35
orf00071    61929    63251    +3    4.37
orf00072    63238    64014    +1    5.86
orf00073    64008    64214    +3    0.27
orf00074    64220    64990    +2    7.78
orf00075    64987    66099    +1    7.80
orf00076    68117    66324    -3    8.49
orf00078    69191    68250    -3    7.14
orf00079    69296    70498    +2    7.74
orf00081    70602    70886    +3    11.45
orf00082    71436    70975    -1    11.36
