#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
I	NC_002505.1	235	402	-	2614109	-	VC0001	NP_062585.1	55	-	hypothetical protein VC0001
I	NC_002505.1	372	806	-	2615827	-	VC0002	NP_062586.1	144	-	flavodoxin
I	NC_002505.1	816	2210	-	2614455	trmE	VC0003	NP_062587.1	464	-	tRNA modification GTPase TrmE
I	NC_002505.1	2271	3896	-	2615298	-	VC0004	NP_062588.1	541	-	inner membrane protein translocase component YidC
I	NC_002505.1	3899	4156	-	2612958	-	VC0005	NP_062589.1	85	-	hypothetical protein VC0005
I	NC_002505.1	4123	4479	-	2612959	rnpA	VC0006	NP_062590.1	118	-	ribonuclease P
I	NC_002505.1	4492	4629	-	2614454	rpmH	VC0007	NP_062591.1	45	-	50S ribosomal protein L34
I	NC_002505.1	4871	5608	-	2614084	-	VC0008	NP_062592.1	245	-	amino acid ABC transporter ATP-binding protein
I	NC_002505.1	5605	6276	-	2615705	-	VC0009	NP_062593.1	223	-	amino acid ABC transporter permease
I	NC_002505.1	6354	7100	-	2615295	-	VC0010	NP_062594.1	248	-	amino acid ABC transporter substrate-binding protein
I	NC_002505.1	7397	8815	+	2614412	dnaA	VC0012	NP_062596.1	472	-	chromosome replication initiator DnaA
I	NC_002505.1	8873	9973	+	2615703	-	VC0013	NP_062597.1	366	-	DNA polymerase III subunit beta
I	NC_002505.1	9991	11082	+	2615704	recF	VC0014	NP_062598.1	363	-	recombination protein F
I	NC_002505.1	11103	13520	+	2615137	gyrB	VC0015	NP_229675.2	805	-	DNA gyrase subunit B
I	NC_002505.1	13876	14367	+	16691851	-	VC0015a	YP_008474262.1	163	-	hypothetical protein VC0015a
I	NC_002505.1	14377	14493	+	2614874	-	VC0017	NP_229676.1	38	-	hypothetical protein VC0017
I	NC_002505.1	14769	15206	+	2614875	-	VC0018	NP_229677.1	145	-	16 kDa heat shock protein A
I	NC_002505.1	15294	16550	-	2614962	avtA	VC0019	NP_229678.1	418	-	valine--pyruvate transaminase
I	NC_002505.1	16869	18935	-	2614960	glyS	VC0020	NP_229679.1	688	-	glycyl-tRNA synthetase subunit beta
I	NC_002505.1	18950	19867	-	2614961	glyQ	VC0021	NP_229680.2	305	-	glycyl-tRNA synthetase subunit alpha
I	NC_002505.1	20235	20837	+	2614959	-	VC0022	NP_229681.1	200	-	hypothetical protein VC0022
I	NC_002505.1	20943	21200	+	2614868	-	VC0023	NP_229682.1	85	-	NADH dehydrogenase subunit II-like protein
I	NC_002505.1	21287	21535	-	2614869	-	VC0024	NP_229683.1	82	-	sulfur transfer protein SirA
I	NC_002505.1	21656	21856	+	2614861	-	VC0025	NP_229684.1	66	-	hypothetical protein VC0025
I	NC_002505.1	22028	23008	-	2614460	-	VC0026	NP_229685.1	326	-	zinc-binding alcohol dehydrogenase
I	NC_002505.1	23256	24788	-	2614461	-	VC0027	NP_229686.1	510	-	threonine dehydratase
I	NC_002505.1	24792	26633	-	2612960	-	VC0028	NP_229687.1	613	-	dihydroxy-acid dehydratase
I	NC_002505.1	26643	27602	-	2614456	-	VC0029	NP_229688.1	319	-	branched-chain amino acid aminotransferase
I	NC_002505.1	27593	27877	-	2614457	ilvM	VC0030	NP_229689.1	94	-	acetolactate synthase 2 regulatory subunit
I	NC_002505.1	27889	29535	-	2614464	-	VC0031	NP_229690.1	548	-	acetolactate synthase 2 catalytic subunit
I	NC_002505.1	30069	31592	+	2614466	-	VC0032	NP_229691.1	507	-	ComM-like protein
I	NC_002505.1	31682	32566	+	2614467	-	VC0033	NP_229692.1	294	-	acyltransferase
